estu_consecutivo.1;estu_exterior;periodo;estu_tieneetnia;estu_tomo_cursopreparacion;estu_cursodocentesies;estu_cursoiesapoyoexterno;estu_cursoiesexterna;estu_simulacrotipoicfes;estu_actividadrefuerzoareas;estu_actividadrefuerzogeneric;fami_trabajolaborpadre;fami_trabajolabormadre;fami_numlibros;estu_inst_cod_departamento;estu_tipodocumento.1;estu_nacionalidad.1;estu_genero.1;estu_fechanacimiento.1;periodo.1;estu_estudiante.1;estu_pais_reside.1;estu_depto_reside.1;estu_cod_reside_depto.1;estu_mcpio_reside.1;estu_cod_reside_mcpio.1;estu_areareside;estu_valorpensioncolegio;fami_educacionpadre.1;fami_educacionmadre.1;fami_ocupacionpadre.1;fami_ocupacionmadre.1;fami_estratovivienda.1;fami_nivelsisben;fami_pisoshogar;fami_tieneinternet.1;fami_tienecomputador.1;fami_tienemicroondas;fami_tienehorno;fami_tieneautomovil.1;fami_tienedvd;fami_tiene_nevera.1;fami_tiene_celular.1;fami_telefono.1;fami_ingresofmiliarmensual;estu_trabajaactualmente;estu_antecedentes;estu_expectativas;cole_codigo_icfes;cole_cod_dane_establecimiento;cole_nombre_establecimiento;cole_genero;cole_naturaleza;cole_calendario;cole_bilingue;cole_caracter;cole_cod_dane_sede;cole_nombre_sede;cole_sede_principal;cole_area_ubicacion;cole_jornada;cole_cod_mcpio_ubicacion;cole_mcpio_ubicacion;cole_cod_depto_ubicacion;cole_depto_ubicacion;punt_lenguaje;punt_matematicas;punt_biologia;punt_quimica;punt_fisica;punt_ciencias_sociales;punt_filosofia;punt_ingles;desemp_ingles;profundiza;puntaje_prof;desemp_prof;exito
SB11201220492226;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;TI;COLOMBIA;M;10/5/1995;20122;ESTUDIANTE;COLOMBIA;NARIÑO;52;LA UNIÓN;52399;Area Rural;No paga Pensión;Secundaria (Bachillerato) incompleta;Primaria incompleta;Trabajador por cuenta propia;Hogar;Estrato 1;Nivel 1;Cemento, gravilla, ladrillo;No;Si;No;No;No;Si;Si;Si;No;Menos de 1 SMLV;No;No;;36822;2.52399E+11;INSTITUCION EDUCATIVA DE DESARROLLO RURAL;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;2.52399E+11;INSTITUCION EDUCATIVA DE DESARROLLO RURAL;S;RURAL;MAÑANA;52399;LA UNIÓN;52;NARIÑO;53;65;52;47;53;43;42;52;A1;PUNT_PROFUNDIZA_MATEMATICA;5;GB;1
SB11201220284807;NO;20173;No;;Más de 30 horas;Menos de 20 horas;Menos de 20 horas;No;Si;Si;;;11 A 25 LIBROS;11;TI;COLOMBIA;M;1/10/1995;20122;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;No paga Pensión;Educación profesional completa;Técnica o tecnológica incompleta;Empleado de nivel auxiliar o administrativo;Hogar;Estrato 3;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;No;No;No;Si;No;Si;Entre 1 y menos de 2 SMLV;No;Si;;23671;3.11001E+11;INST TEC IND CENTRO DON BOSCO;MASCULINO;NO OFICIAL;A;N;TÉCNICO;3.11001E+11;INST TEC IND CENTRO DON BOSCO;S;URBANO;COMPLETA;11001;BOGOTÁ D.C.;11;BOGOTA;53;61;53;51;60;52;54;70;B1;PUNT_PROFUNDIZA_MATEMATICA;6;II;1
SB11201220259028;NO;20183;No;;;;;;;;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Trabaja en el hogar, no trabaja o estudia;0 A 10 LIBROS;11;TI;COLOMBIA;F;1/2/1996;20122;ESTUDIANTE;COLOMBIA;SAN ANDRES;88;SAN ANDRÉS;88001;Area Rural;250.000 o más;Postgrado;Técnica o tecnológica completa;Profesional independiente;Hogar;Estrato 2;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;;Si, 20 horas o más a la semana;No;;156323;3.88001E+11;C.E. LICEO DEL CARIBE;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.88001E+11;C.E. LICEO DEL CARIBE - SEDE PRINCIPAL;S;URBANO;MAÑANA;88001;SAN ANDRÉS;88;SAN ANDRES;42;49;50;38;40;40;37;100;B+;PUNT_PROFUNDIZA_BIOLOGIA;5;I;1
SB11201220191181;NO;20173;No;;;;;;;;;;0 A 10 LIBROS;54;TI;COLOMBIA;M;5/5/1996;20122;ESTUDIANTE;COLOMBIA;NORTE SANTANDER;54;CÚCUTA;54001;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Empleado obrero u operario;Trabajador por cuenta propia;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;No;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;;143966;1.54001E+11;COL SAGRADO CORAZON DE JESUS;MASCULINO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.54001E+11;COL SAGRADO CORAZON DE JESUS;S;URBANO;TARDE;54001;CÚCUTA;54;NORTE SANTANDER;51;58;55;57;48;60;46;50;A1;PUNT_PROFUNDIZA_MATEMATICA;5;I;0
SB11201220381108;NO;20183;No;;;;;;;;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;0 A 10 LIBROS;8;TI;COLOMBIA;F;7/1/1996;20122;ESTUDIANTE;COLOMBIA;BOLIVAR;13;CARTAGENA DE INDIAS;13001;Cabecera Municipal;No paga Pensión;Primaria incompleta;Secundaria (Bachillerato) completa;Empleado obrero u operario;Empleado obrero u operario;Estrato 1;Nivel 1;Madera pulida, baldosa, tableta, mármol, alfombra;No;No;Si;No;No;Si;Si;Si;No;Menos de 1 SMLV;No;No;;71290;1.13001E+11;INSTITUCION EDUCATIVA ANTONIA SANTOS;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.13001E+11;INSTITUCION EDUCATIVA ANTONIA SANTOS;S;URBANO;TARDE;13001;CARTAGENA DE INDIAS;13;BOLIVAR;48;58;48;53;45;44;45;52;A1;PUNT_PROFUNDIZA_BIOLOGIA;5;I;1
SB11201220551481;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;TI;COLOMBIA;F;28/8/1994;20122;ESTUDIANTE;COLOMBIA;BOLIVAR;13;SANTA ROSA;13683;Area Rural;No paga Pensión;Primaria completa;Primaria completa;Trabajador por cuenta propia;Hogar;Estrato 1;Nivel 1;Cemento, gravilla, ladrillo;No;No;No;No;No;Si;Si;Si;No;Menos de 1 SMLV;No;No;;60343;1.13683E+11;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;MIXTO;OFICIAL;A;N;ACADÉMICO;1.13683E+11;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;S;URBANO;MAÑANA;13683;SANTA ROSA;13;BOLIVAR;40;0;34;46;36;33;42;32;A-;PUNT_INTERDISC_MEDIOAMBIENTE;50;;0
SB11201320421735;NO;20183;No;;;;;;;;Es vendedor o trabaja en atención al público;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);0 A 10 LIBROS;11;TI;COLOMBIA;F;5/5/1997;20132;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) completa;Técnica o tecnológica incompleta;Empleado de nivel auxiliar o administrativo;Empleado con cargo como director o gerente general;Estrato 2;No está clasificada por el SISBEN;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;No;126201;1.11001E+11;INST EDUC DIST FE Y ALEGRIA JOSE MARIA VELAZ;MIXTO;OFICIAL;A;;ACADÉMICO;1.11001E+11;COLEGIO JOSE MARIA VELAZ (IED);S;URBANO;COMPLETA;11001;BOGOTÁ, D.C.;11;BOGOTA;54;54;50;45;50;49;51;60;A2;PUNT_PROFUNDIZA_LENGUAJE;6;II;1
SB11201220578516;NO;20173;No;;;;;;;;;;26 A 100 LIBROS;11;TI;COLOMBIA;F;19/8/1995;20122;ESTUDIANTE;COLOMBIA;SUCRE;70;COROZAL;70215;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Profesional independiente;Empleado de nivel directivo;Estrato 1;Nivel 1;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;No;No;No;Si;Si;No;Entre 1 y menos de 2 SMLV;No;No;;15503;1.70215E+11;I.E. NORMAL SUPERIOR DE COROZAL;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.70215E+11;I.E. NORMAL SUPERIOR DE COROZAL - SEDE PRINCIPAL;S;URBANO;TARDE;70215;COROZAL;70;SUCRE;50;49;54;50;55;42;48;43;A-;PUNT_PROFUNDIZA_BIOLOGIA;5;I;1
SB11201310049912;;20143;;Si;No tomó Curso;Más de 30 horas;No tomó curso;Si;Si;Si;;;;11;CR;COLOMBIA;M;7/11/1994;20131;ESTUDIANTE;COLOMBIA;BOYACA;15;TUNJA;15001;Cabecera Municipal;Menos de 87.000;Educación profesional completa;Secundaria (Bachillerato) incompleta;Profesional independiente;Trabajador por cuenta propia;Estrato 3;No está clasificada por el SISBEN;Madera burda, tabla, tablón;Si;Si;Si;No;Si;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;No;No;No;104547;3.15001E+11;COLEGIO CORPORACION SANTO DOMINGO;MIXTO;NO OFICIAL;A;N;TÉCNICO/ACADÉMICO;3.15001E+11;COLEGIO CORPORACION SANTO DOMINGO;S;URBANO;MAÑANA;15001;TUNJA;15;BOYACA;49;48;43;43;50;45;36;48;A1;PUNT_INTERDISC_VIOLENCIAYSOC;46;;1
SB11201410039205;NO;20183;No;;;;;;;;;;11 A 25 LIBROS;76;TI;COLOMBIA;F;14/7/1996;20141;ESTUDIANTE;COLOMBIA;VALLE;76;CALI;76001;Cabecera Municipal;Menos de 87.000;Técnica o tecnológica completa;Técnica o tecnológica incompleta;Empleado de nivel técnico o profesional;Empleado de nivel auxiliar o administrativo;Estrato 4;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;No;Si;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;No;114835;3.76001E+11;INST SER INTERNACIONAL COMUNA 17;MIXTO;NO OFICIAL;B;N;ACADÉMICO;3.76001E+11;INST SER INTERNACIONAL, COMUNA 17;S;URBANO;SABATINA;76001;CALI;76;VALLE;48;49;40;39;31;40;39;35;A-;PUNT_PROFUNDIZA_LENGUAJE;5;GB;0
